"","year","co2","GMSL_variation","temp_anomaly_degC"
"1",1993,357.1,-33.7632432432432,0.33
"2",1994,358.833333333333,-29.6459459459459,0.34
"3",1995,360.82,-25.9697297297297,0.37
"4",1996,362.606666666667,-23.6261111111111,0.4
"5",1997,363.729166666667,-20.1105405405405,0.43
"6",1998,366.7,-21.9956756756757,0.45
"7",1999,368.3775,-18.4132432432432,0.48
"8",2000,369.549166666667,-15.5045945945946,0.51
"9",2001,371.1425,-9.84162162162162,0.53
"10",2002,373.279166666667,-6.68527777777778,0.55
"11",2003,375.8025,-3.26162162162162,0.59
"12",2004,377.5225,-1.2872972972973,0.61
"13",2005,379.795833333333,3.53405405405405,0.62
"14",2006,381.895833333333,4.84611111111111,0.63
"15",2007,383.791666666667,5.75675675675676,0.64
"16",2008,385.604166666667,8.40972222222222,0.64
"17",2009,387.43,13.4540540540541,0.64
"18",2010,389.899166666667,14.9559459459459,0.65
"19",2011,391.6525,14.2464864864865,0.67
"20",2012,393.853333333333,24.9872972972973,0.7
"21",2013,396.52,27.6648648648649,0.74
"22",2014,398.6475,31.0983333333333,0.79
"23",2015,400.834166666667,41.81,0.83
"24",2016,404.239166666667,44.6940540540541,0.87
"25",2017,406.553333333333,46.0956756756757,0.92
"26",2018,408.520833333333,49.8875675675676,0.96
