year_decimal,year,GMSL_variation
1993.011526,1993,-37.02
1993.038692,1993,-38.19
1993.065858,1993,-38.27
1993.093025,1993,-38.54
1993.120191,1993,-37.83
1993.147357,1993,-36.93
1993.174523,1993,-36.09
1993.201689,1993,-35.48
1993.228855,1993,-35.12
1993.256021,1993,-35.02
1993.283188,1993,-35.16
1993.310354,1993,-35.51
1993.33752,1993,-36.02
1993.364686,1993,-36.42
1993.391852,1993,-36.84
1993.419018,1993,-36.69
1993.446185,1993,-36.59
1993.473351,1993,-36.3
1993.500517,1993,-36.07
1993.527683,1993,-35.79
1993.554849,1993,-35.25
1993.582015,1993,-34.34
1993.609181,1993,-33.25
1993.636348,1993,-32.22
1993.663514,1993,-31.31
1993.69068,1993,-30.53
1993.717846,1993,-29.83
1993.745012,1993,-29.06
1993.772178,1993,-28.5
1993.799345,1993,-28.36
1993.826511,1993,-28.75
1993.853677,1993,-29.39
1993.880843,1993,-29.81
1993.908009,1993,-29.85
1993.935175,1993,-29.63
1993.962341,1993,-29.41
1993.989508,1993,-29.87
1994.016674,1994,-30.02
1994.04384,1994,-30.49
1994.071006,1994,-31.37
1994.098172,1994,-32.26
1994.125338,1994,-32.84
1994.152505,1994,-32.82
1994.179671,1994,-32.1
1994.206837,1994,-31.04
1994.234003,1994,-30.32
1994.261169,1994,-30.31
1994.288335,1994,-31.16
1994.315501,1994,-31.8
1994.342668,1994,-32.79
1994.369834,1994,-33.39
1994.397,1994,-34.1
1994.424166,1994,-34.23
1994.451332,1994,-34.09
1994.478498,1994,-33.79
1994.505664,1994,-33.34
1994.532831,1994,-32.75
1994.559997,1994,-32.01
1994.587163,1994,-31.13
1994.614329,1994,-30.09
1994.641495,1994,-28.86
1994.668661,1994,-27.81
1994.695828,1994,-26.67
1994.722994,1994,-25.81
1994.75016,1994,-25.13
1994.777326,1994,-24.61
1994.804492,1994,-24.38
1994.831658,1994,-24.58
1994.858824,1994,-25.14
1994.885991,1994,-25.61
1994.913157,1994,-25.61
1994.940323,1994,-25.18
1994.967489,1994,-24.65
1994.994655,1994,-24.62
1995.021821,1995,-24.74
1995.048988,1995,-25
1995.076154,1995,-25.81
1995.10332,1995,-26.66
1995.130486,1995,-27.26
1995.157652,1995,-27.28
1995.184818,1995,-27.36
1995.211984,1995,-27.4
1995.239151,1995,-27.72
1995.266317,1995,-28.17
1995.293483,1995,-28.6
1995.320649,1995,-28.91
1995.347815,1995,-29.23
1995.374981,1995,-29.51
1995.402148,1995,-29.7
1995.429314,1995,-29.91
1995.45648,1995,-30.2
1995.483646,1995,-30.52
1995.510812,1995,-30.44
1995.537978,1995,-30.48
1995.565144,1995,-29.84
1995.592311,1995,-28.78
1995.619477,1995,-27.04
1995.646643,1995,-25.52
1995.673809,1995,-23.81
1995.700975,1995,-22
1995.728141,1995,-21.32
1995.755307,1995,-20.37
1995.782474,1995,-20.43
1995.80964,1995,-20.75
1995.836806,1995,-21.02
1995.863972,1995,-21.15
1995.891138,1995,-21.26
1995.918304,1995,-21.59
1995.945471,1995,-22.63
1995.972637,1995,-23.67
1995.999803,1995,-24.8
1996.026895,1996,-26.2
1996.053987,1996,-27.24
1996.081079,1996,-27.35
1996.108171,1996,-27.6
1996.135263,1996,-27.27
1996.162355,1996,-27.09
1996.189447,1996,-27.17
1996.216539,1996,-27.42
1996.243631,1996,-27.7
1996.270723,1996,-27.73
1996.297815,1996,-27.7
1996.324907,1996,-27.57
1996.351998,1996,-27.22
1996.37909,1996,-26.93
1996.406182,1996,-26.72
1996.433274,1996,-26.54
1996.460366,1996,-26.22
1996.487458,1996,-25.68
1996.51455,1996,-24.96
1996.541642,1996,-24.2
1996.568734,1996,-23.54
1996.595826,1996,-23.13
1996.622918,1996,-22.64
1996.65001,1996,-22.25
1996.677102,1996,-21.42
1996.704194,1996,-20.21
1996.731285,1996,-18.75
1996.758377,1996,-17.21
1996.785469,1996,-15.88
1996.812561,1996,-15.24
1996.839653,1996,-15.51
1996.866745,1996,-16.54
1996.893837,1996,-18.04
1996.920929,1996,-19.72
1996.948021,1996,-21.2
1996.975113,1996,-22.75
1997.002211,1997,-23.9
1997.029377,1997,-24.73
1997.056543,1997,-25.28
1997.083709,1997,-25.69
1997.110875,1997,-26
1997.138042,1997,-26.16
1997.165208,1997,-26.05
1997.192374,1997,-25.74
1997.21954,1997,-25.37
1997.246706,1997,-25.24
1997.273872,1997,-25.16
1997.301038,1997,-25.17
1997.328205,1997,-25.13
1997.355371,1997,-24.91
1997.382537,1997,-24.59
1997.409703,1997,-24.33
1997.436869,1997,-24.08
1997.464035,1997,-23.73
1997.491202,1997,-23.07
1997.518368,1997,-22.11
1997.545534,1997,-20.89
1997.5727,1997,-19.35
1997.599866,1997,-17.77
1997.627032,1997,-16.14
1997.654198,1997,-14.66
1997.681365,1997,-13.37
1997.708531,1997,-12.23
1997.735697,1997,-11.25
1997.762863,1997,-10.94
1997.790029,1997,-10.49
1997.817195,1997,-10.86
1997.844362,1997,-11.64
1997.871528,1997,-12.96
1997.898694,1997,-14.1
1997.92586,1997,-15.58
1997.953026,1997,-17.08
1997.980192,1997,-18.34
1998.007358,1998,-19.25
1998.034525,1998,-19.83
1998.061691,1998,-20.2
1998.088857,1998,-20.47
1998.116023,1998,-20.66
1998.143189,1998,-20.72
1998.170355,1998,-20.65
1998.197521,1998,-20.5
1998.224688,1998,-20.45
1998.251854,1998,-20.37
1998.27902,1998,-20.63
1998.306186,1998,-21.19
1998.333352,1998,-22.04
1998.360518,1998,-23.16
1998.387685,1998,-24.23
1998.414851,1998,-25.36
1998.442017,1998,-25.87
1998.469183,1998,-25.98
1998.496349,1998,-25.89
1998.523515,1998,-25.75
1998.550681,1998,-25.47
1998.577848,1998,-25.24
1998.605014,1998,-24.46
1998.63218,1998,-23.83
1998.659346,1998,-22.88
1998.686512,1998,-21.95
1998.713678,1998,-21.11
1998.740845,1998,-20.52
1998.768011,1998,-19.81
1998.795177,1998,-19.42
1998.822343,1998,-19.38
1998.849509,1998,-19.67
1998.876675,1998,-20.27
1998.903841,1998,-20.76
1998.931008,1998,-21.38
1998.958174,1998,-21.94
1998.98534,1998,-22.55
1999.012506,1999,-23
1999.039672,1999,-23.21
1999.066838,1999,-22.99
1999.094005,1999,-22.33
1999.121171,1999,-21.55
1999.148337,1999,-20.84
1999.175503,1999,-20.47
1999.202669,1999,-20.37
1999.229835,1999,-20.51
1999.257001,1999,-20.61
1999.284168,1999,-20.88
1999.311334,1999,-21.28
1999.3385,1999,-21.78
1999.365666,1999,-22.32
1999.392832,1999,-22.83
1999.419998,1999,-23.21
1999.447164,1999,-23.34
1999.474331,1999,-22.98
1999.501497,1999,-22.69
1999.528663,1999,-22.11
1999.555829,1999,-21.46
1999.582995,1999,-20.66
1999.610161,1999,-19.57
1999.637328,1999,-18.04
1999.664494,1999,-16.17
1999.69166,1999,-14.32
1999.718826,1999,-12.85
1999.745992,1999,-12.02
1999.773158,1999,-11.17
1999.800324,1999,-10.89
1999.827491,1999,-11.06
1999.854657,1999,-11.18
1999.881823,1999,-11.52
1999.908989,1999,-11.91
1999.936155,1999,-12.4
1999.963321,1999,-13.02
1999.990488,1999,-13.75
2000.017605,2000,-14.57
2000.044697,2000,-15.44
2000.071789,2000,-16.19
2000.098881,2000,-16.77
2000.125973,2000,-17.32
2000.153065,2000,-17.35
2000.180157,2000,-17.2
2000.207249,2000,-17.09
2000.234341,2000,-17.23
2000.261433,2000,-17.74
2000.288525,2000,-18.51
2000.315617,2000,-19.28
2000.342709,2000,-19.94
2000.369801,2000,-20.41
2000.396892,2000,-20.87
2000.423984,2000,-21.05
2000.451076,2000,-21.27
2000.478168,2000,-21.19
2000.50526,2000,-20.88
2000.532352,2000,-20.28
2000.559444,2000,-19.32
2000.586536,2000,-18.04
2000.613628,2000,-16.57
2000.64072,2000,-14.9
2000.667812,2000,-13.47
2000.694904,2000,-11.83
2000.721996,2000,-10.45
2000.749088,2000,-8.91
2000.776179,2000,-8.02
2000.803271,2000,-7.72
2000.830363,2000,-8.02
2000.857455,2000,-8.96
2000.884547,2000,-9.74
2000.911639,2000,-10.72
2000.938731,2000,-11.57
2000.965823,2000,-12.23
2000.992915,2000,-12.62
2001.020062,2001,-13.12
2001.047228,2001,-13.44
2001.074394,2001,-13.58
2001.10156,2001,-13.46
2001.128726,2001,-13.13
2001.155892,2001,-12.76
2001.183059,2001,-12.51
2001.210225,2001,-12.52
2001.237391,2001,-12.47
2001.264557,2001,-12.61
2001.291723,2001,-12.93
2001.318889,2001,-13.49
2001.346055,2001,-14.21
2001.373222,2001,-14.86
2001.400388,2001,-15.19
2001.427554,2001,-15.04
2001.45472,2001,-14.38
2001.481886,2001,-13.38
2001.509052,2001,-12.32
2001.536218,2001,-11.38
2001.563385,2001,-10.56
2001.590551,2001,-9.69
2001.617717,2001,-8.57
2001.644883,2001,-7.11
2001.672049,2001,-5.41
2001.699215,2001,-3.81
2001.726382,2001,-2.72
2001.753548,2001,-2.35
2001.780714,2001,-2.52
2001.80788,2001,-2.9
2001.835046,2001,-3.31
2001.862212,2001,-3.89
2001.889378,2001,-4.78
2001.916545,2001,-5.91
2001.943711,2001,-7.06
2001.970877,2001,-8.03
2001.998043,2001,-8.74
2002.025209,2002,-9.17
