EmployerName,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,PropMaleLowerQuartile,PropFemaleLowerQuartile,PropMaleLowerMiddleQuartile,PropFemaleLowerMiddleQuartile,PropMaleUpperMiddleQuartile,PropFemaleUpperMiddleQuartile,PropMaleTopQuartile,PropFemaleTopQuartile,EmployerSize
A. & B. GLASS COMPANY LIMITED,19,4,42,45,70,41,0.77,0.23,0.83,0.17,0.76,0.24,0.9,0.1,250-499
Abbeyfield Wales Society,17.1,28.2,NA,NA,0,0,0.2,0.8,0.232,0.768,0.018,0.982,0.089,0.911,0-249
AMSRIC FOODS LIMITED,25,6,39,20,23,25,0.6,0.4,0.58,0.42,0.59,0.41,0.68,0.32,1000-4999
AMSRIC LIMITED,23,5,46,-47,39,47,0.28,0.72,0.28,0.72,0.28,0.72,0.4,0.6,250-499
AMVALE MEDICAL TRANSPORT LIMITED,4.7,3.9,NA,NA,0,0,0.442,0.558,0.462,0.538,0.471,0.529,0.729,0.271,250-499
Ark Schools,13,20,24,50,3,3,0.19,0.81,0.26,0.74,0.31,0.69,0.34,0.66,1000-4999
ARRK EUROPE LIMITED,2.3,11.4,18.7,6.6,52,41,0.861,0.139,0.836,0.164,0.89,0.11,0.877,0.123,250-499
ASSOCIATED WASTE MANAGEMENT LIMITED,17.6,14,NA,NA,0,0,0.923,0.077,0.969,0.031,0.8,0.2,0.846,0.154,250-499
Barrow-in-furness Borough Council,14.6,18.1,NA,NA,0,0,0.242,0.758,0.238,0.762,0.29,0.71,0.556,0.444,250-499
BE MODERN LIMITED,-0.4,-9.1,59.3,0,92.2,94.1,0.919,0.081,0.946,0.054,0.689,0.311,0.757,0.243,250-499
BLACK SWAN INTERNATIONAL LIMITED,9.8,4.2,78.6,0,7.6,4.1,0.217,0.783,0.086,0.914,0.229,0.771,0.248,0.752,500-999
BLUETREE DESIGN AND PRINT LIMITED,13.1,8.8,50.9,56,18.8,44.2,0.571,0.429,0.682,0.318,0.718,0.282,0.798,0.202,250-499
BRANCASTER CARE HOMES LIMITED,1.9,0,NA,NA,0,2.5,0.066,0.934,0.18,0.82,0.246,0.754,0.229,0.771,250-499
Bridgwater & Taunton College,12.3,27.5,NA,NA,0,0,0.31,0.69,0.32,0.68,0.49,0.51,0.51,0.49,1000-4999
British Broadcasting Corporation,6.8,6.7,23.1,0,8,9.1,0.454,0.546,0.536,0.464,0.588,0.412,0.605,0.395,5000-19999
BRITISH LAND COMPANY PUBLIC LIMITED COMPANY(THE),35.1,34.9,56.9,64.5,81.3,84.2,0.324,0.676,0.412,0.588,0.529,0.471,0.696,0.304,250-499
BROADGATE ESTATES LIMITED,31.7,37.7,62.5,43.1,92.6,73.7,0.208,0.792,0.265,0.735,0.714,0.286,0.771,0.229,0-249
Brookvale Groby Learning Trust,14.9,31.6,NA,NA,0,0,0.17,0.83,0.22,0.78,0.333,0.667,0.288,0.712,250-499
BROTHERS OF CHARITY SERVICES (SCOTLAND),-2,-1,NA,NA,0,0,0.34,0.66,0.24,0.76,0.32,0.68,0.25,0.75,0-249
Brothers of Charity Services in Lancashire,1.6,2.2,25.1,24.1,5.9,2.6,0.234,0.766,0.273,0.727,0.295,0.705,0.248,0.752,500-999
Brothers of Charity Services Merseyside and Greater Manchester,5.6,0,34.2,33.4,5.3,4.4,0.305,0.695,0.281,0.719,0.289,0.711,0.297,0.703,500-999
BURHILL GOLF AND LEISURE LIMITED,16.6,0,65.2,72.6,25.3,21.1,0.42,0.58,0.45,0.55,0.72,0.28,0.69,0.31,500-999
BURHILL GROUP LIMITED,16.6,0,65.2,72.6,25.3,21.1,0.42,0.58,0.45,0.55,0.72,0.28,0.69,0.31,500-999
CAMPHILL VILLAGE TRUST LIMITED(THE),6.1,-1,69.2,80,21.7,78.3,0.351,0.649,0.359,0.641,0.333,0.667,0.359,0.641,500-999
CANNON HALL FARM LIMITED,17.6,1.8,26.8,-50,13.8,6.9,0.264,0.736,0.34,0.66,0.264,0.736,0.654,0.346,250-499
Castle Point Borough Council,6.3,-12.5,NA,NA,0,0,0.391,0.609,0.563,0.437,0.276,0.724,0.437,0.563,250-499
CHARLIES STORES LIMITED,10,8,19,32,86,87,0.37,0.63,0.48,0.52,0.52,0.48,0.62,0.38,250-499
Chorley Borough Council,-4.4,-7.1,NA,NA,0,0,0.593,0.407,0.524,0.476,0.463,0.537,0.476,0.524,250-499
Clayesmore School,7.1,16.7,NA,NA,0,0,0.29,0.71,0.32,0.68,0.4,0.6,0.43,0.57,250-499
Compass Education Trust Ltd,16.7,23.2,NA,NA,0,0,0.29,0.71,0.21,0.79,0.23,0.77,0.4,0.6,250-499
CONCEPT RECRUITMENT GROUP LIMITED,18.7,7.4,25.5,-75,0.1,1.7,0.61,0.39,0.62,0.38,0.64,0.36,0.67,0.33,1000-4999
CONTRACTOR UMBRELLA LIMITED,13.7,12.5,NA,NA,0,0,0.72,0.28,0.73,0.27,0.81,0.19,0.86,0.14,250-499
DYNEX SEMICONDUCTOR LIMITED,33,37,100,100,0.4,0,0.48,0.52,0.49,0.51,0.78,0.22,0.86,0.14,250-499
E.C.G. Building Maintenance Ltd.,20.5,24.9,34.6,8.4,10.6,10,0.711,0.289,0.759,0.241,0.952,0.048,0.952,0.048,250-499
ENACT CONVEYANCING LIMITED,7.3,1,49.9,14.8,40.9,53.3,0.37,0.63,0.32,0.68,0.33,0.67,0.4,0.6,500-999
EXPD8 LIMITED,2.5,0,0,0,0.5,0.2,0.19,0.81,0.17,0.83,0.17,0.83,0.19,0.81,1000-4999
FIRST HAMPSHIRE & DORSET LIMITED,0.1,0.1,4.6,2.1,5.6,63.5,0.865,0.135,0.891,0.109,0.859,0.141,0.897,0.103,500-999
FOR UNDER FIVES LIMITED,0.2,2.4,NA,NA,0,0,0.029,0.971,0,1,0.014,0.986,0.029,0.971,250-499
Fresh Start Recruitment (UK) Ltd,1,0,73,80,0.1,1.5,0.62,0.38,0.63,0.37,0.64,0.36,0.66,0.34,500-999
GEODIS FF UNITED KINGDOM LTD.,25,-0.2,71,29,19,9,0.66,0.34,0.55,0.45,0.47,0.53,0.72,0.28,250-499
Gloucestershire Care Services Nhs Trust,12.3,0,72,83.9,0.3,0.1,0.112,0.888,0.096,0.904,0.079,0.921,0.132,0.868,1000-4999
Grace Academy,12.1,0.2,NA,NA,0,0,0.29,0.71,0.3,0.7,0.25,0.75,0.34,0.66,250-499
GRAVESHAM COMMUNITY LEISURE LIMITED,-13.1,-8.5,NA,NA,0,0,0.449,0.551,0.257,0.743,0.143,0.857,0.171,0.829,250-499
GRAY & ADAMS HOLDINGS LIMITED,14.9,12,51,-20,88,77.6,0.816,0.184,0.978,0.022,0.962,0.038,0.881,0.119,250-499
GRAY & ADAMS LIMITED,17.6,8.1,64.3,0,85.2,73.8,0.798,0.202,1,0,0.966,0.034,0.881,0.119,250-499
GREENCROFT BOTTLING COMPANY  LIMITED,5.2,4,9.1,0,84,86,0.84,0.16,0.83,0.17,0.83,0.17,0.84,0.16,250-499
GUARDIAN NEWS & MEDIA LIMITED,11,4.9,27.5,2.8,9.1,11.8,0.37,0.63,0.53,0.47,0.54,0.46,0.63,0.37,1000-4999
HALL CLEANING SERVICES LIMITED,0.2,0,0,0,0.4,0.4,0.192,0.808,0.192,0.808,0.192,0.808,0.192,0.808,250-499
HML HOLDINGS PLC,13.9,6,59,32,17,12,0.56,0.44,0.44,0.56,0.44,0.56,0.66,0.34,500-999
Horizons Specialist Academy Trust,26,32.9,NA,NA,0,0,0.114,0.886,0.171,0.829,0.214,0.786,0.457,0.543,250-499
HR ESSENTIALS LIMITED,-3.8,0.2,-512.6,-338.1,7.8,13.4,0.699,0.301,0.702,0.298,0.737,0.263,0.729,0.271,1000-4999
HSBC Bank PLC,55.1,50.8,68.5,69.3,95,94,0.5,0.5,0.69,0.31,0.77,0.23,0.93,0.07,1000-4999
HSBC GLOBAL ASSET MANAGEMENT (UK) LIMITED,39.4,32.6,60,51.8,90,93,0.49,0.51,0.69,0.31,0.71,0.29,0.84,0.16,250-499
HSBC GLOBAL SERVICES (UK) LIMITED,28.6,31.4,44,38.2,91,92,0.39,0.61,0.52,0.48,0.66,0.34,0.72,0.28,5000-19999
HSBC GROUP MANAGEMENT SERVICES LIMITED,37.8,20.7,58.7,38.2,92,92,0.4,0.6,0.48,0.52,0.59,0.41,0.69,0.31,5000-19999
HSBC HOLDINGS B.V.,38.8,35.3,52.3,45.4,100,97,0.68,0.32,0.6,0.4,0.86,0.14,0.86,0.14,250-499
HSBC PRIVATE BANK (UK) LIMITED,36.4,35.1,52.2,47.6,94,90,0.37,0.63,0.45,0.55,0.64,0.36,0.73,0.27,250-499
HSBC UK BANK PLC,32,18.7,59.7,44.3,87,87,0.32,0.68,0.27,0.73,0.34,0.66,0.58,0.42,20000+
IN TOUCH GAMES LIMITED,-5.4,10.4,25.1,-143.8,60.7,63.9,0.43,0.57,0.69,0.31,0.84,0.16,0.63,0.37,250-499
INCLUSIVE SCHOOLS TRUST,30.2,51.6,NA,NA,0,0,0.067,0.933,0.061,0.939,0.117,0.883,0.2,0.8,250-499
Inspire (Partnership Through Life) Ltd.,6.2,2,12.1,23.1,19.6,80.4,0.385,0.615,0.028,0.972,0.202,0.798,0.193,0.807,250-499
J & J Ormerod PLC,2.3,3.2,6,2.4,8,18.3,0.75,0.25,0.857,0.143,0.869,0.131,0.842,0.158,250-499
JOHN REILLY (CIVIL ENGINEERING)  LIMITED,27.8,39.6,72.5,-100,13.7,90.9,0.91,0.09,0.95,0.05,1,0,1,0,250-499
KPPES LTD,11,9,NA,NA,0,0,0.19,0.81,0.29,0.71,0.38,0.62,0.4,0.6,1000-4999
LINCOLNSHIRE HOUSING PARTNERSHIP  LIMITED,4.8,8.4,NA,NA,0,0,0.316,0.684,0.622,0.378,0.485,0.515,0.633,0.367,250-499
LOCAL CARE DIRECT LIMITED,-12.9,-21.9,0.2,-20,88.8,83.3,0.42,0.58,0.61,0.39,0.28,0.72,0.26,0.74,250-499
LOGOPLASTE UK LIMITED,-75,-35,-25,31,12,54,1,0,0.97,0.03,0.95,0.05,0.88,0.12,250-499
LOUVER-LITE LIMITED,5.1,-4.5,62,0,10,11,0.57,0.43,0.77,0.23,0.78,0.22,1,0,250-499
M.P.I. LIMITED,16.4,11.4,76.4,49.9,11,15,0.667,0.333,0.632,0.368,0.696,0.304,0.824,0.176,250-499
MAILWAY PACKAGING SOLUTIONS LIMITED,34,9.5,97.6,7.7,11,4.6,0.46,0.54,0.36,0.64,0.56,0.44,0.71,0.29,250-499
MARATHON SERVICE (G.B.) LIMITED,17.7,13.8,23.9,-19.7,93.9,96.8,0.636,0.364,0.897,0.103,0.846,0.154,0.897,0.103,250-499
MARKS AND SPENCER FINANCIAL SERVICES PLC,13.4,2.3,36.1,18.7,85,89,0.33,0.67,0.24,0.76,0.27,0.73,0.38,0.62,1000-4999
Monzo Bank Limited,19.3,20.4,-18.9,0,13.8,17,0.489,0.511,0.538,0.462,0.526,0.474,0.739,0.261,500-999
MOORCROFT GROUP PUBLIC LIMITED COMPANY,13,-4.5,NA,NA,0,0,0.5,0.5,0.52,0.48,0.39,0.61,0.53,0.47,250-499
NEOVIA LOGISTICS SERVICES (U.K.) LIMITED,4.5,6.1,21.2,27.2,71,54,0.64,0.36,0.62,0.38,0.75,0.25,0.71,0.29,1000-4999
